因变量:下一年净资产收益率,资产周转率,利润率,债务资本比率,成长速度(%),市倍率,收入质量,存货率,资产规模,当年净资产收益率
0.751,0.033,0.259,0.6704,0.31,8.106,0.1258,0.082,18.968,0.511
-0.355,0.768,0.191,0.2368,2.734,-4.23,0.2576,0.205,20.691,0.009
0.585,0.585,0.513,0.6608,2.724,-4.031,0.0428,0.131,21.231,1.047
-0.54,0.227,0.207,0.292,0.495,5.274,0.1168,0.106,21.289,-0.12
-0.718,0.21,-0.294,0.8602,0.473,0.552,0.3046,0.129,21.399,-0.664
0.231,0.466,0.306,0.786,3.039,-6.641,0.1584,0.289,21.418,0.966
0.081,0.642,0.367,0.0024,2.327,-0.846,0.1508,0.016,21.274,0.214
0.45,0.689,-0.008,0.2116,3.214,-2.325,0.1928,0.1,20.685,0.207
-0.249,0.698,0.32,0.7544,0.269,7.623,0.0798,0.177,20.861,0.091
-0.209,0.327,0.179,0.4644,2.668,-0.657,0.0846,0.074,22.2,0.012
-0.047,0.797,0.301,0.7226,3.284,-10.683,0.0888,0.243,22.391,-0.176
-0.633,0.257,0.479,1.3296,1.121,-11.887,0.1162,0.137,20.941,0.272
-0.658,0.767,0.101,0.7966,1.771,4.848,0.1376,0.2,21.61,0.486
-0.088,0.17,0.522,0.5974,3.902,19.325,0.3512,0.168,19.381,0.702
-0.529,0.158,0.113,1.2498,0.77,10.295,0.1526,0.04,20.067,0.354
-0.433,0.394,0.202,0.5646,1.503,7.932,0.0818,0.099,20.961,0.165
-0.425,1.646,-0.306,0.6472,0.852,11.889,0.0866,0.209,21.423,0.475
-0.187,0.554,0.155,0.692,1.224,12.302,0.1014,0.022,21.59,-0.049
-0.539,0.172,0.092,0.5248,1.287,15.01,0.1418,0.033,21.098,0.407
0.676,0.269,0.441,0.0088,0.295,-9.958,0.0088,0.029,20.195,1.087
-0.266,0.205,0.056,0.7732,1.007,13.313,0.0034,0.076,19.476,0.401
0.728,0.445,0.441,0.1756,1.165,-4.378,0.1006,0.105,21.353,0.241
0.107,0.571,0.195,1.1912,0.453,-17.321,0.1788,0.182,20.881,0.484
-0.004,0.621,0.078,0.4224,1.485,-19.625,0.1314,0.165,22.755,0.602
0.279,0.089,0.319,0.605,0.771,-2.736,0.1928,0.072,20.109,0.878
0.384,0.543,-0.042,0.5908,2.156,-3.565,0.2314,0.006,22.242,0.531
-0.207,0.771,0.402,0.8122,4.183,13.64,0.1712,0.015,21.773,0.412
0.022,0.04,0.181,0.0794,0.793,4.312,0.0014,0.174,21.525,-0.573
-0.637,1.32,0.124,0.9736,3.453,-8.461,0.0708,0.283,22.007,0.517
-0.312,1.289,0.143,1.4566,1.224,10.284,0.1322,0.071,20.758,0.124
0.075,0.348,0.238,0.243,0.378,1.111,0.0306,0.123,21.121,0.157
-0.255,0.015,0.427,0.9808,1.646,-9.839,0.2038,0.142,21.208,0.538
-0.913,0.572,0.229,2.0478,1.387,20.143,0.0572,0.138,22.473,-0.936
0.544,0.235,0.138,0.1576,0.04,-9.893,0.055,0.124,21.127,0.554
0.505,0.598,0.194,0.2146,2.692,0.687,0.2054,0.302,22.165,0.18
-0.423,1.097,0.158,0.4578,0.109,1.761,0.0608,0.236,21.211,0.747
0.077,0.603,-0.043,0.8994,3.33,14.593,0.0426,0.18,21.574,0.544
0.361,0.523,-0.077,0.3166,2.407,7.088,0.163,0.197,22.13,0.676
0.035,0.624,-0.239,0.0214,0.387,-0.178,0.1882,0.253,21.438,0.634
0.69,0.407,0.294,0.989,0.689,15.579,0.5256,0.058,21.649,0.265
-0.228,0.029,0.421,0.2654,4.77,-1.23,0.1666,0.048,20.528,0.561
-0.092,0.776,-0.064,0.7768,0.38,16.941,0.2052,0.159,20.019,-0.148
-0.256,0.829,0.125,1.2124,0.017,19.526,0.0806,0.144,21.318,-0.129
-0.138,0.954,0.128,0.3422,1.164,2.974,0.1884,0.071,19.894,0.79
0.218,0.175,0.226,0.1848,0.993,-2.637,0.019,0.067,21.611,0.524
-0.167,0.212,0.332,0.1666,2.552,10.917,0.1112,0.041,21.882,0.062
-0.36,0.36,0.057,0.7412,0.422,10.653,0.245,0.009,22.032,0.396
-0.034,0.081,0.131,0.1342,1.07,2.876,0.1194,0.016,20.83,0.112
-0.066,0.127,0.552,0.789,2.713,-8.688,0.0248,0.115,21.723,0.694
0.042,0.091,0.536,0.2592,1.682,4.784,0.233,0.156,20.789,0.549
-0.181,0.509,0.074,0.8866,1.944,-19.681,0.1798,0.047,20.698,0.495
-0.098,0.027,0.25,0.6064,3.797,-1.088,0.0676,0.209,21.63,0.784
-0.229,0.869,0.408,0.1484,0.856,-2.657,0.2622,0.364,23.468,0.419
0.148,0.376,0.175,0.8014,2.872,12.946,0.0862,0.12,21.119,0.334
0.782,0.937,0.101,0.9668,0.598,10.681,0.0952,0.006,22.224,0.405
-0.419,0.408,0.106,1.5004,3.056,-8.291,0.0036,0.163,20.326,-0.232
-0.045,0.568,0.084,0.3392,4.134,3.895,0.2626,0.14,20.548,0.236
0.775,0.614,0.184,0.3658,0.969,10.299,0.0118,0.068,21.361,1.171
0.447,0.6,0.425,0.0986,0.581,-0.959,0.2108,0.243,21.254,1.003
0.119,0.872,0.076,0.4528,0.811,11.191,0.017,0.074,20.032,0.602
-0.195,0.552,0.333,0.5898,0.854,-12.778,0.0896,0.338,21.751,-0.021
-0.217,0.046,0.407,0.3148,0.838,7.438,0.144,0.052,20.837,1.073
0.641,1.4,-0.248,2.0148,1.154,9.187,0.262,0.103,21.525,0.675
0.122,0.1,0.254,0.6626,0.512,12.811,0.0464,0.03,21.261,1.07
0.179,0.529,0.38,0.5506,1.654,4.489,0.0586,0.049,20.282,0.409
0.464,0.392,0.246,0.7118,3.17,5.312,0.0008,0.25,20.592,1.418
-0.184,0.173,0.088,1.0256,1.393,13.833,0.0966,0.166,21.875,-0.31
-0.675,0.444,0.546,0.011,2.337,10.569,0.1908,0.056,20.836,-0.154
0.519,0.379,0.252,0.0948,3.945,2.297,0.0498,0.196,20.327,1.081
0.988,1.273,0.163,0.1734,2.146,9.385,0.2178,0.19,19.567,0.199
1.102,0.464,0.088,0.6618,1.366,-4.388,0.3398,0.022,20.884,1.878
-0.768,0.03,0.017,0.0974,1.808,11.443,0.2466,0.047,19.826,-0.454
0.338,1.056,-0.033,0.1756,0.8,1.745,0.0444,0.058,20.665,0.738
0.119,0.504,0.743,1.0896,0.461,-6.63,0.078,0.135,21.472,0.344
0.045,0.762,0.342,0.205,1.209,10.712,0.0584,0.092,20.903,0.024
0.688,0.823,0.595,0.3596,3.441,-6.025,0.1336,0.072,20.831,0.245
-0.452,0.492,0.414,1.669,1.542,24.916,0.0562,0.343,20.566,-0.153
-0.184,0.538,0.055,0.3564,3.424,5.96,0.301,0.22,19.846,-0.267
-0.171,1.066,0.225,0.6676,2.677,19.687,0.2114,0.033,21.768,0.201
0.479,0.752,0.487,0.6302,0.299,6.448,0.0262,0.024,21.677,0.409
-0.002,0.612,0.147,0.0386,2.248,-2.575,0.1334,0.097,22.575,0.358
0.13,0.129,0.305,1.043,1.012,6.553,0.1492,0.303,20.201,1.023
0.266,0.448,0.417,0.6504,0.808,5.583,0.2878,0.221,21.192,0.426
-0.713,0.682,0.04,0.3184,3.33,9.18,0.1378,0.11,18.529,-0.083
-0.452,0.151,0.227,0.3802,3.164,2.765,0.2028,0.051,21.067,0.379
0.101,0.086,0.304,0.0368,1.825,6.275,0.1556,0.216,20.262,0.643
0.731,0.823,0.086,0.7778,1.605,5.184,0.0124,0.124,21.191,0.481
0.099,0.525,0.157,0.0646,2.296,11.535,0.3652,0.158,21.232,0.442
0.021,0.796,0.202,0.7022,0.592,12.649,0.0264,0.149,22.171,-0.043
-0.725,0.343,0.065,0.045,3.36,4.786,0,0.141,19.705,-0.024
0.159,0.156,0.386,0.6586,4.723,17.712,0.305,0.004,21.403,0.39
0.098,0.519,0.276,0.143,1.336,-6.724,0.066,0.241,21.184,0.115
0.749,0.043,0.558,0.138,3.033,-3.303,0.0588,0.017,21.31,0.488
0.299,0.565,0.093,0.459,0.591,2.297,0.0298,0.096,20.942,0.699
-0.19,0.031,0.079,0.6948,5.087,-13.124,0.3764,0.037,20.436,0.244
-0.275,0.503,0.344,0.4722,3.03,-2.208,0.083,0.079,21.317,0.31
-0.603,1.191,0.469,0.6996,0.126,10.867,0.1388,0.02,20.819,-0.167
-0.638,0.56,0.427,0.1166,1.594,-1.813,0.204,0.053,20.714,0.726
0.128,0.854,-0.041,0.0362,0.302,3.286,0.6388,0.024,20.026,0.422
0.185,0.233,0.61,1.0268,0.378,8.348,0.1328,0.027,20.403,0.246
-0.186,0.022,0.017,0.3444,1.254,9.185,0.1838,0.031,20.983,0.193
0.238,1.789,0.191,0.243,3.186,14.599,0.3678,0.111,22.894,1.443
-0.893,1.175,0.055,0.7706,3.521,7.878,0.2922,0.328,20.162,-0.008
0.309,0.415,0.21,0.0512,1.103,7.716,0.0294,0.055,21.099,0.373
-0.629,0.322,0.005,0.2288,0.91,-4.818,0.0646,0.271,20.594,0.079
0.508,0.105,0.551,0.0698,0.364,15.049,0.111,0.087,20.462,0.019
0.493,0.354,-0.1,0.3486,5.213,13.167,0.066,0.042,20.821,0.35
0.148,0.197,0.056,0.515,0.836,12.283,0.0924,0.057,21.256,0.205
0.424,1.883,0.336,1.1472,2.057,5.27,0.0234,0.091,22.846,0.531
0.283,0.664,0.275,0.6664,0.337,5.613,0.3568,0.309,19.57,0.034
0.83,1.494,0.207,0.2788,4.376,-3.682,0.0454,0.301,21.759,0.948
0.134,0.717,0.268,0.2418,1.443,1.993,0.4366,0.183,21.406,0.48
-0.449,0.143,0.473,0.2382,1.958,9.7,0.1144,0.135,21.181,1.438
0.179,0.647,0.091,0.4332,1.2,13.783,0.2924,0.07,20.069,1.752
-0.344,0.016,0.104,1.2964,0.679,7.475,0.1288,0.189,21,-0.117
0.054,0.699,0.116,0.462,1.11,-1.53,0.233,0.072,20.561,0.61
-0.191,0.331,0.088,0.3804,1.422,3.78,0.2282,0.341,22.274,0.182
-0.47,0.257,0.17,0.1082,1.321,-5.103,0.0832,0.182,21.871,0.856
0.045,0.899,0.099,0.3726,2.938,-0.034,0.1052,0.041,20.27,0.516
-0.234,1.055,0.175,1.8244,4.196,22.276,0.2462,0.022,20.618,-0.208
0.776,0.368,0.452,0.249,2.911,0.957,0.0152,0.165,21.702,0.461
0.126,0.182,0.189,0.4794,1.196,-2.898,0.0432,0.137,21.325,0.595
0.727,0.657,0.299,0.2776,2.623,3.832,0.1868,0.269,20.882,0.922
-0.382,0.646,-0.023,0.7726,2.663,12.885,0.0894,0.163,21.026,-0.491
0.117,0.384,0.095,0.009,1.455,-8.511,0.0736,0.11,22.741,0.26
-0.128,0.029,0.102,0.136,2.08,-1.034,0.0754,0.092,21.977,0.404
0.174,0.468,0.013,0.4346,0.168,12.286,0.1888,0.216,20.051,1.089
0.872,0.816,0.194,0.1154,0.208,6.13,0.1202,0.212,20.56,1.357
0.469,0.342,0.116,0.0318,2.435,4.652,0.1766,0.056,19.737,0.32
0.398,0.418,0.198,0.4194,1.735,7.126,0.0272,0.007,21.338,0.306
-0.606,0.232,0.208,1.4368,0.112,23.511,0.0436,0.037,19.421,-0.278
0.174,0.068,0.524,1.1282,0.214,6.573,0.4452,0.114,22.412,0.439
-0.341,0.03,0.392,0.3076,0.438,-6.118,0.1096,0.308,20.299,-0.19
0.049,0.167,0.381,0.386,0.128,4.523,0.196,0.209,22.717,0.274
0.244,0.881,0.185,0.1042,0.472,1.724,0.1532,0.116,20.795,0.55
0.641,0.482,-0.091,0.307,0.34,2.456,0.245,0.045,20.97,0.886
-0.039,0.809,0.084,0.6802,0.468,15.337,0.017,0.089,19.822,-0.186
-0.015,0.867,0.341,1.4088,2.571,-12.897,0.0122,0.165,21.949,0.191
0.026,1.098,0.309,0.8636,3.611,-6.84,0.0322,0.128,20.744,-0.117
-0.852,0.785,-0.017,0.861,2.412,19.864,0.1398,0.41,21.686,-0.295
0.452,1.068,0.143,0.2188,0.895,-3.115,0.024,0.145,22.069,0.792
0.317,0.101,0.693,0.0192,1.192,6.683,0.1984,0.217,20.648,0.045
-0.254,1.007,0.019,0.5364,0.415,5.853,0.1526,0.23,19.682,0.003
0.149,0.267,0.122,0.6614,0.926,-13.896,0.2818,0.148,20.104,0.449
-0.217,0.82,-0.208,1.0426,3.319,9.612,0.0556,0.023,21.335,0.225
-0.006,0.162,0.477,1.0426,3.348,11.189,0.2864,0.155,19.867,0.122
0.716,1.019,-0.037,0.6874,0.317,-8.153,0.1564,0.154,20.082,1.247
-0.198,0.671,0.064,1.0728,1.824,15.187,0.2282,0.115,19.802,0.295
0.374,0.971,0.092,0.858,1.983,14.089,0.069,0.09,20.383,0.456
-0.727,1.361,-0.159,0.682,0.949,4.03,0.1734,0.273,19.874,-0.026
0.806,0.003,0.062,0.3166,0.673,-20.062,0.0338,0.15,20.637,1.986
0.961,0.256,0.129,0.2016,1.919,-9.156,0.0446,0.18,21.009,1.165
0.047,0.321,0.719,1.4744,0.9,21.184,0.2968,0.118,20.078,1.048
0.636,0.865,0.203,0.2564,0.999,3.05,0.0934,0.198,22.066,0.473
0.857,0.202,0.302,0.491,1.126,-3.786,0.0994,0.203,21.49,0.817
0.207,0.684,0.305,0.1446,0.005,3.981,0.327,0.17,19.549,0.434
-0.163,0.632,0.168,1.0158,1.294,10.1,0.0444,0.092,20.74,0.134
0.994,1.092,0.128,0.428,0.937,-1.677,0.1246,0.037,20.705,0.992
-0.052,0.447,0.193,0.7514,0.252,1.221,0.087,0.159,21.982,0.228
-0.087,0.502,0.008,0.9234,0.774,-1.979,0.0296,0.008,19.527,0.127
-0.127,0.573,0.357,0.1448,2.884,2.456,0.0302,0.063,20.763,-0.055
-0.077,0.156,0.383,0.6328,1.439,6.122,0.0974,0.137,20.338,0.145
1.024,0.273,0.075,0.1424,4.549,4.718,0.1936,0.215,21.182,1.06
0.82,1.05,0.153,0.1266,0.755,-0.739,0.0962,0.182,20.774,1.736
0.376,0.132,0.286,0.1504,0.699,4.321,0.0244,0.025,22.174,0.513
-0.836,0,0.219,0.542,2.42,20.476,0.0946,0.093,21.236,0.106
0.438,0.274,0.185,1.4292,1.201,3.195,0.007,0.175,20.856,0.36
-0.262,0.035,0.145,1.2226,3.154,10.493,0.143,0.203,21.03,-0.251
-0.943,0.321,0.276,1.5514,5.385,23.453,0.1184,0.031,20.433,-0.394
0.26,0.828,0.228,0.422,0.528,-3.66,0.0202,0.338,22.626,0.768
-0.136,0.218,0.687,0.6586,2.974,0.439,0.0054,0.188,21.034,0.504
-0.007,0.539,0.068,0.2842,0.955,5.271,0.1974,0.213,21.643,0.366
-0.585,0.426,-0.205,0.1056,1.13,8.274,0.1492,0.156,18.462,-0.252
0.57,0.097,0.351,0.311,2.866,-3.978,0.3124,0.136,21.55,0.562
-0.166,0.194,0.359,0.1958,0.864,3.527,0.3524,0.099,20.766,0.601
-0.086,0.826,0.335,1.2412,1.267,17.288,0.3512,0.014,20.352,0.145
0.512,0.012,-0.054,0.1112,0.33,1.564,0.0838,0.089,21.358,0.557
0.217,0.266,0.101,0.5268,2.319,9.078,0.0408,0.064,22.655,0.78
-0.031,0.579,0.417,0.0616,3.148,3.017,0.0888,0.058,20.515,0.418
-0.433,0.36,0.437,0.2296,3.041,-12.341,0.2916,0.339,21.533,0.378
-0.219,0.044,0.432,0.7972,1.879,7.513,0.0258,0.054,21.267,-0.212
-0.329,0.539,0.133,0.3076,2.259,9.231,0.096,0.275,20.155,0.207
-0.013,0.75,0.003,0.097,0.782,-2.945,0.2454,0.083,22.715,-0.13
-0.089,0.067,-0.086,0.896,2.585,10.918,0.3604,0.019,21.913,-0.046
-0.229,0.572,0.155,1.3814,3.033,26.082,0.0978,0.157,20.264,-0.321
0.733,0.545,0.346,0.0826,1.63,5.612,0.28,0.015,22.129,1.031
0.577,0.375,0.06,0.656,0.18,4.413,0.2302,0.187,21.34,0.411
-0.224,1.006,-0.034,0.1644,3.342,-0.648,0.084,0.161,21.712,0.679
-0.273,0.182,0.349,0.0408,1.562,-0.487,0.2766,0.202,21.194,-0.006
-0.593,0.18,0.486,0.2482,0.79,1.906,0.0528,0.116,20.907,0.106
0.535,0.581,-0.017,1.311,2.178,17.714,0.0826,0.286,21.645,0.356
0.642,0.298,0.4,0.6112,3.469,-7.264,0.277,0.204,21.315,0.613
-0.18,0.265,0.292,0.949,2.12,5.124,0.2816,0.147,21.067,0.236
0.491,0.546,-0.083,0.048,0.231,9.921,0.0798,0.037,20.908,0.512
0.032,0.18,0.167,0.2534,1.77,-5.808,0.408,0.164,20.446,0.291
-0.592,0.292,0.342,0.8816,0.626,-8.514,0.26,0.095,20.866,-0.289
0.83,1.181,0.242,0.7276,0.914,-8.045,0.2826,0.123,21.453,1.731
0.085,1.061,-0.027,0.3682,0.002,5.02,0.0846,0.03,20.394,0.015
-0.284,0.688,0.2,0.0534,1.408,-2.19,0.2426,0.074,20.969,0.057
-0.767,0.67,-0.209,1.059,3.05,20.697,0.3976,0.175,20.689,-0.079
-0.652,1.172,0.25,0.6644,1.771,3.426,0.1218,0.355,21.241,0.001
0.801,0.655,0.456,0.2614,0.762,18.311,0.001,0.103,21.115,0.944
-0.281,0.043,0.139,0.2964,0.717,2.855,0.2722,0.305,21.47,0.059
0.044,0.747,0.319,1.0482,2.243,-2.978,0.0864,0.177,22.295,0.761
-0.151,0.037,0.267,0.3988,0.229,10.242,0.0418,0.171,20.332,0.394
-0.717,0.109,-0.038,0.896,2.161,9.072,0.2954,0.225,21.557,-0.684
0.196,0.263,0.001,0.2172,2.939,-1.589,0.0554,0.014,21.079,0.813
-0.3,0.372,-0.186,1.0352,2.859,12.283,0.3154,0.091,20.789,-0.676
0.087,0.695,-0.074,0.5594,2.436,-14.042,0.183,0.281,23.017,0.782
0.351,1.314,0.257,0.002,0.565,-5.945,0.288,0.278,23.086,0.862
-0.42,1.183,0.207,0.573,2.116,9.287,0.0284,0.146,20.779,0.092
0.151,1.052,0.313,0.549,2.04,-0.257,0.0722,0.221,22.702,0.246
-0.295,0.143,0.054,0.7718,0.418,11.64,0.0192,0.042,19.71,0.142
0.141,0.209,0.047,0.5238,1.257,7.801,0.1412,0.069,20.947,-0.237
0.852,0.695,-0.023,0.5266,1.004,-7.362,0.1976,0.171,22.028,0.781
-0.4,0.642,0.252,0.5208,1.939,2.504,0.1078,0.32,21.269,0.151
0.054,0.391,0.484,0.8088,4.467,19.105,0.172,0.029,21.465,0.547
0.083,0.054,0.381,0.2946,2.442,-0.697,0.1274,0.101,19.428,0.445
0.288,0.122,0.444,0.561,1.295,15.732,0.0592,0.11,21.438,0.352
-0.718,0.781,0.268,1.1204,2.407,10.07,0.3186,0.04,19.877,-0.448
0.592,0.584,0.508,0.6788,1.913,-16.976,0.1746,0.193,22.582,0.883
0.21,0.222,0.34,0.2418,1.466,-4.581,0.0078,0.101,22.338,0.813
0.465,0.414,0.388,0.472,1.045,-10.507,0.0212,0.088,22.284,0.084
-0.397,0.985,0.406,0.1988,1.246,-6.074,0.3286,0.18,22.537,0.386
-0.719,0.876,0.078,0.7586,1.396,6.12,0.2998,0.336,20.992,-0.029
-0.933,0.83,0.263,1.0628,0.591,14.666,0.1718,0.169,20.224,0.115
0.389,0.304,0.387,0.2674,1.59,0.667,0.268,0.157,21.863,0.211
0.43,0.996,0.155,0.9934,1.122,-17.322,0.0384,0.182,22.227,0.418
-0.052,0.116,0.238,1.3748,2.963,1.033,0.041,0.067,22.179,0.541
0.657,0.501,0.259,0.5366,0.833,6.953,0.1144,0.182,22.142,0.535
-0.266,1.075,0.167,0.7834,0.558,-6.716,0.0798,0.043,21.058,0.282
-0.274,0.936,0.283,1.1706,2.149,15.877,0.4464,0.037,22.192,0.132
0.666,1.039,0.278,0.4798,1.053,-7.437,0.1768,0.239,20.971,0.162
1.335,0.062,0.413,0.2266,2.502,12.005,0.1214,0.066,20.785,1.017
-0.825,1.098,0.13,0.2128,2.341,4.129,0.1692,0.315,23.319,-0.657
-0.204,1.071,0.306,0.4666,0.809,0.531,0.1268,0.034,20.819,0.17
-0.675,1.22,0.358,0.4524,0.713,-0.08,0.3332,0.116,22.222,-0.099
-0.225,0.42,0.426,0.031,3.706,-0.616,0.2212,0.178,20.37,-0.215
0.106,0.353,0.507,0.5618,1.249,10.393,0.1854,0.221,20.09,1.296
-0.269,0.992,0.297,1.197,2.697,8.186,0.1042,0.182,21.304,-0.014
0.13,0.227,0.258,1.032,2.122,11.715,0.56,0.178,22.155,-0.4
-0.363,1.054,0.189,1.173,0.17,-15.596,0.1606,0.316,22.11,0.155
0.314,0.221,-0.011,0.1882,0.486,8.247,0.2092,0.061,19.636,0.716
0.171,0.487,0.388,0.2326,0.277,-8.015,0.1706,0.1,20.59,0.836
-0.743,1.123,0.093,1.7782,0.572,20.335,0.0524,0.044,20.417,-0.372
0.109,0.443,0.009,0.0152,2.708,16.278,0.002,0.157,19.731,0.7
0.419,0.307,0.21,0.0178,1.042,-7.632,0.0452,0.132,23.224,0.79
-0.152,0.612,0.141,0.7746,2.356,16.89,0.2226,0.239,21.382,0.618
0.505,0.324,0.369,0.4276,2.768,-6.103,0.225,0.386,22.489,1.08
-0.064,0.633,0.132,0.3206,0.63,8.684,0.3262,0.193,20.692,-0.262
-0.074,0.976,0.003,0.611,3.301,-1.791,0.1856,0.25,21.385,-0.047
0.302,0.468,0.219,0.2714,1.612,-0.641,0.1092,0.249,20.936,0.862
-0.471,0.154,0.485,0.179,0.954,12.3,0.0148,0.162,19.873,0.478
-0.076,0.533,0.282,0.2128,0.476,4.847,0.2084,0.135,20.88,0.118
0.022,0.273,-0.086,0.8682,0.609,3.452,0.1732,0.052,20.544,-0.616
-0.882,0.127,0.284,0.6472,1.614,13.3,0.241,0.128,20.028,-0.767
-0.321,0.122,-0.326,0.996,1.103,11.969,0.6834,0.227,22.382,-0.203
-0.099,1.149,0.271,0.7222,3.233,-10.685,0.0354,0.079,21.75,0.505
-0.198,0.568,-0.077,0.0784,2.027,-2.276,0.0688,0.133,20.172,0.777
0.334,1.236,-0.269,0.158,0.731,3.325,0.2338,0.059,20.383,0.915
0.367,1.08,-0.129,0.9988,6.164,13.13,0.0428,0.191,22.527,1.5
-0.046,1.012,-0.043,0.2916,1.639,14.497,0.0148,0.143,21.43,0.572
-0.445,0.199,0.077,1.166,0.018,13.243,0.015,0.326,21.45,-0.259
0.511,0.778,0.508,0.0582,1.011,-11.176,0.002,0.119,21.537,0.7
0.092,0.851,0.115,0.0648,2.514,-0.056,0.0312,0.262,21.737,-0.108
-0.294,0.31,0.051,0.0434,0.274,0.074,0.0886,0.014,18.946,0.226
-0.737,0.651,0.217,0.0394,3.231,-8.691,0.0002,0.164,20.742,-0.704
-0.002,0.309,0.222,1.1674,2.926,4.643,0.122,0.074,22.628,0.415
0.347,1.248,0.455,0.2766,0.883,-7.779,0.0808,0.056,22.587,0.549
0.767,1.002,0.156,0.0356,0.412,-1.118,0.258,0.072,20.601,0.88
0.473,0.872,0.276,0.2826,1.328,9.285,0.0026,0.284,21.545,0.434
-0.974,0.12,0.486,0.0242,1.461,4.068,0.3142,0.028,20.628,-0.054
0.283,0.247,0.388,0.299,1.711,-0.89,0.1054,0.105,22.005,0.496
0.675,1.23,0.014,0.0652,2.994,-2.53,0.2008,0.37,20.243,0.256
-0.348,0.429,0.208,1.0952,1.522,2.859,0.008,0.219,21.729,-0.72
0.181,0.161,-0.156,0.3298,1.537,8.936,0.293,0.013,20.846,0.224
0.084,0.633,0.478,0.9476,2.396,12.93,0.0226,0.186,21.957,1.119
-0.447,0.253,0.076,0.084,2.136,-1.322,0.0776,0.087,23.095,0.886
0.155,0.375,0.703,0.0742,5.782,-4.96,0.1124,0.081,19.305,0.086
-0.977,0.808,-0.021,0.3558,0.22,-7.608,0.0728,0.002,20.54,-0.15
-0.378,0.264,0.069,0.5892,1.001,2.87,0.3468,0.191,20.445,0.404
0.69,0.27,0.635,0.8446,1.308,8.294,0.1184,0.019,21.709,0.527
0.818,0.054,0.31,0.585,2.946,-3.976,0.02,0.011,21.346,1.222
0.252,1.407,0.34,1.1146,3.124,-4.91,0.051,0.042,21.712,0.048
-0.11,0.126,0.358,0.378,2.726,18.035,0.0436,0.172,19.9,-0.253
-0.052,0.844,0.395,0.2614,4.262,-0.387,0.0056,0.109,22.195,0.137
-0.404,0.522,-0.078,0.0028,1.591,-0.755,0.1478,0.076,20.769,-0.182
-0.056,0.182,0.474,0.1796,3.376,-1.077,0.0176,0.231,22.304,0.1
-0.183,1.131,0.275,0.3764,1.674,8.249,0.0112,0.163,21.623,0.008
0.451,0.312,0.396,0.3408,0.169,10.728,0.084,0.194,22.295,0.513
0.493,0.426,0.415,0.5766,1.809,13.094,0.2164,0.118,21.161,0.572
-0.755,0.031,0.346,0.2142,4.716,1.458,0.1018,0.256,21.508,-0.054
-0.68,0.447,0.337,0.8506,1.077,22.722,0.091,0.07,20.621,-0.539
0.167,0.545,0.483,0.4704,1.002,2.19,0.2836,0.324,21.356,0.163
-0.342,0.075,0.387,0.1656,1.619,9.887,0.0054,0.245,21.721,0.345
-0.56,0.322,0.326,0.7898,0.498,-0.072,0.131,0.077,21.985,0.152
